"D_X","E850","SI","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","sourceXI_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.085233,0.21388,1604.2,0,-8.4212e-12,3.2771e-11,0,6.9566,6.5015,65.761,0.83898,6.0535,5.6575,0.077232,0,2.7447e-07,1.005,1,0.000204,0.0015,0.000204,5e-06
1.728e-11,0.088021,0.21386,1604.2,0,-8.4973e-12,3.3933e-11,0,6.9562,6.5011,65.762,0.839,6.0531,5.6571,0.077226,0,2.7445e-07,1.005,1,0.000207,0.0015,0.000207,5e-06
1.728e-11,0.090808,0.21385,1604.2,0,-8.5734e-12,3.5095e-11,0,6.9557,6.5006,65.764,0.83902,6.0527,5.6567,0.077221,0,2.7443e-07,1.005,1,0.00021,0.0015,0.00021,5e-06
1.728e-11,0.093839,0.21383,1604.2,0,-8.6454e-12,3.6338e-11,0,6.9552,6.5002,65.765,0.83904,6.0523,5.6563,0.077216,0,2.7441e-07,1.005,1,0.000213,0.0015,0.000213,5e-06
1.728e-11,0.096869,0.21381,1604.2,0,-8.7174e-12,3.7582e-11,0,6.9547,6.4997,65.767,0.83906,6.0519,5.656,0.077211,0,2.7439e-07,1.005,1,0.000216,0.0015,0.000216,5e-06
1.728e-11,0.10003,0.2138,1604.2,0,-8.7873e-12,3.8867e-11,0,6.9542,6.4992,65.768,0.83908,6.0514,5.6556,0.077205,0,2.7437e-07,1.005,1,0.000219,0.0015,0.000219,5e-06
1.728e-11,0.10333,0.21378,1604.2,0,-8.8552e-12,4.0194e-11,0,6.9537,6.4987,65.77,0.8391,6.051,5.6551,0.0772,0,2.7435e-07,1.005,1,0.000222,0.0015,0.000222,5e-06
1.728e-11,0.10663,0.21376,1604.2,0,-8.9231e-12,4.1521e-11,0,6.9531,6.4983,65.771,0.83912,6.0506,5.6547,0.077194,0,2.7433e-07,1.005,1,0.000225,0.0015,0.000225,5e-06
1.728e-11,0.11022,0.21374,1604.2,0,-8.9869e-12,4.2931e-11,0,6.9526,6.4978,65.773,0.83914,6.0501,5.6543,0.077188,0,2.7431e-07,1.005,1,0.000228,0.0015,0.000228,5e-06
1.728e-11,0.11382,0.21372,1604.2,0,-9.0507e-12,4.4342e-11,0,6.9521,6.4973,65.774,0.83916,6.0497,5.6539,0.077183,0,2.7429e-07,1.005,1,0.000231,0.0015,0.000231,5e-06
1.728e-11,0.11758,0.21371,1604.2,0,-9.1124e-12,4.5795e-11,0,6.9515,6.4968,65.776,0.83918,6.0492,5.6535,0.077177,0,2.7427e-07,1.005,1,0.000234,0.0015,0.000234,5e-06
1.728e-11,0.1215,0.21369,1604.2,0,-9.1722e-12,4.729e-11,0,6.951,6.4962,65.777,0.8392,6.0488,5.653,0.077171,0,2.7425e-07,1.0051,1,0.000237,0.0015,0.000237,5e-06
1.728e-11,0.12542,0.21367,1604.2,0,-9.2319e-12,4.8785e-11,0,6.9504,6.4957,65.779,0.83922,6.0483,5.6526,0.077165,0,2.7423e-07,1.0051,1,0.00024,0.0015,0.00024,5e-06
1.728e-11,0.12971,0.21365,1604.2,0,-9.2875e-12,5.0363e-11,0,6.9499,6.4952,65.781,0.83924,6.0478,5.6522,0.077159,0,2.7421e-07,1.0051,1,0.000243,0.0015,0.000243,5e-06
1.728e-11,0.134,0.21363,1604.2,0,-9.3431e-12,5.1941e-11,0,6.9493,6.4947,65.782,0.83926,6.0473,5.6517,0.077153,0,2.7419e-07,1.0051,1,0.000246,0.0015,0.000246,5e-06
1.728e-11,0.13849,0.21361,1604.2,0,-9.3967e-12,5.356e-11,0,6.9487,6.4941,65.784,0.83928,6.0469,5.6513,0.077147,0,2.7417e-07,1.0051,1,0.000249,0.0015,0.000249,5e-06
1.728e-11,0.14319,0.21359,1604.2,0,-9.4481e-12,5.522e-11,0,6.9481,6.4936,65.785,0.8393,6.0464,5.6508,0.07714,0,2.7414e-07,1.0051,1,0.000252,0.0015,0.000252,5e-06
1.728e-11,0.14789,0.21357,1604.2,0,-9.4996e-12,5.688e-11,0,6.9475,6.493,65.787,0.83932,6.0459,5.6503,0.077134,0,2.7412e-07,1.0051,1,0.000255,0.0015,0.000255,5e-06
1.728e-11,0.15304,0.21355,1604.2,0,-9.5469e-12,5.862e-11,0,6.9469,6.4925,65.789,0.83934,6.0454,5.6499,0.077128,0,2.741e-07,1.0051,1,0.000258,0.0015,0.000258,5e-06
1.728e-11,0.15819,0.21353,1604.2,0,-9.5941e-12,6.0359e-11,0,6.9463,6.4919,65.79,0.83936,6.0449,5.6494,0.077121,0,2.7408e-07,1.0051,1,0.000261,0.0015,0.000261,5e-06
1.728e-11,0.16359,0.21351,1604.2,0,-9.6393e-12,6.2137e-11,0,6.9457,6.4913,65.792,0.83938,6.0443,5.6489,0.077115,0,2.7405e-07,1.0051,1,0.000264,0.0015,0.000264,5e-06
1.728e-11,0.16924,0.21349,1604.2,0,-9.6822e-12,6.3952e-11,0,6.9451,6.4908,65.794,0.83941,6.0438,5.6484,0.077108,0,2.7403e-07,1.0051,1,0.000267,0.0015,0.000267,5e-06
1.728e-11,0.1749,0.21347,1604.2,0,-9.7252e-12,6.5768e-11,0,6.9445,6.4902,65.795,0.83943,6.0433,5.648,0.077101,0,2.7401e-07,1.0051,1,0.00027,0.0015,0.00027,5e-06
1.728e-11,0.18112,0.21345,1604.2,0,-9.7638e-12,6.7655e-11,0,6.9438,6.4896,65.797,0.83945,6.0428,5.6474,0.077094,0,2.7398e-07,1.0051,1,0.000273,0.0015,0.000273,5e-06
1.728e-11,0.18734,0.21343,1604.1,0,-9.8024e-12,6.9542e-11,0,6.9432,6.489,65.799,0.83947,6.0422,5.6469,0.077088,0,2.7396e-07,1.0051,1,0.000276,0.0015,0.000276,5e-06
1.728e-11,0.19387,0.21341,1604.1,0,-9.8387e-12,7.1463e-11,0,6.9426,6.4884,65.801,0.83949,6.0417,5.6464,0.077081,0,2.7393e-07,1.0051,1,0.000279,0.0015,0.000279,5e-06
1.728e-11,0.20072,0.21338,1604.1,0,-9.8728e-12,7.3416e-11,0,6.9419,6.4878,65.802,0.83951,6.0411,5.6459,0.077074,0,2.7391e-07,1.0052,1,0.000282,0.0015,0.000282,5e-06
1.728e-11,0.20757,0.21336,1604.1,0,-9.9068e-12,7.537e-11,0,6.9413,6.4872,65.804,0.83954,6.0406,5.6454,0.077067,0,2.7388e-07,1.0052,1,0.000285,0.0015,0.000285,5e-06
1.728e-11,0.21511,0.21334,1604.1,0,-9.9362e-12,7.7383e-11,0,6.9406,6.4865,65.806,0.83956,6.04,5.6449,0.07706,0,2.7386e-07,1.0052,1,0.000288,0.0015,0.000288,5e-06
1.728e-11,0.22266,0.21332,1604.1,0,-9.9656e-12,7.9396e-11,0,6.9399,6.4859,65.807,0.83958,6.0395,5.6444,0.077052,0,2.7383e-07,1.0052,1,0.000291,0.0015,0.000291,5e-06
1.728e-11,0.23058,0.21329,1604.1,0,-9.9925e-12,8.1435e-11,0,6.9392,6.4853,65.809,0.8396,6.0389,5.6438,0.077045,0,2.738e-07,1.0052,1,0.000294,0.0015,0.000294,5e-06
1.728e-11,0.2389,0.21327,1604.1,0,-1.0017e-11,8.35e-11,0,6.9386,6.4846,65.811,0.83962,6.0383,5.6433,0.077038,0,2.7378e-07,1.0052,1,0.000297,0.0015,0.000297,5e-06
1.728e-11,0.24721,0.21325,1604.1,0,-1.0041e-11,8.5565e-11,0,6.9379,6.484,65.813,0.83965,6.0377,5.6427,0.07703,0,2.7375e-07,1.0052,1,0.0003,0.0015,0.0003,5e-06
1.728e-11,0.25637,0.21322,1604.1,0,-1.0061e-11,8.7673e-11,0,6.9372,6.4833,65.814,0.83967,6.0371,5.6422,0.077023,0,2.7373e-07,1.0052,1,0.000303,0.0015,0.000303,5e-06
1.728e-11,0.26553,0.2132,1604.1,0,-1.008e-11,8.9781e-11,0,6.9365,6.4827,65.816,0.83969,6.0366,5.6416,0.077015,0,2.737e-07,1.0052,1,0.000306,0.0015,0.000306,5e-06
1.728e-11,0.27515,0.21318,1604.1,0,-1.0097e-11,9.1906e-11,0,6.9358,6.482,65.818,0.83971,6.036,5.6411,0.077008,0,2.7367e-07,1.0052,1,0.000309,0.0015,0.000309,5e-06
1.728e-11,0.28524,0.21315,1604.1,0,-1.011e-11,9.4047e-11,0,6.935,6.4813,65.82,0.83974,6.0353,5.6405,0.077,0,2.7364e-07,1.0052,1,0.000312,0.0015,0.000312,5e-06
1.728e-11,0.29533,0.21313,1604.1,0,-1.0124e-11,9.6188e-11,0,6.9343,6.4807,65.821,0.83976,6.0347,5.6399,0.076992,0,2.7362e-07,1.0052,1,0.000315,0.0015,0.000315,5e-06
1.728e-11,0.30644,0.2131,1604.1,0,-1.0133e-11,9.835e-11,0,6.9336,6.48,65.823,0.83978,6.0341,5.6394,0.076984,0,2.7359e-07,1.0052,1,0.000318,0.0015,0.000318,5e-06
1.728e-11,0.31754,0.21308,1604,0,-1.0141e-11,1.0051e-10,0,6.9329,6.4793,65.825,0.8398,6.0335,5.6388,0.076976,0,2.7356e-07,1.0052,1,0.000321,0.0015,0.000321,5e-06
1.728e-11,0.3292,0.21305,1604,0,-1.0146e-11,1.0268e-10,0,6.9321,6.4786,65.827,0.83982,6.0329,5.6382,0.076968,0,2.7353e-07,1.0052,1,0.000324,0.0015,0.000324,5e-06
1.728e-11,0.3414,0.21303,1604,0,-1.0148e-11,1.0485e-10,0,6.9314,6.4779,65.828,0.83985,6.0322,5.6376,0.07696,0,2.735e-07,1.0052,1,0.000327,0.0015,0.000327,5e-06
1.728e-11,0.35361,0.213,1604,0,-1.015e-11,1.0702e-10,0,6.9306,6.4772,65.83,0.83987,6.0316,5.637,0.076952,0,2.7347e-07,1.0052,1,0.00033,0.0015,0.00033,5e-06
1.728e-11,0.367,0.21298,1604,0,-1.0145e-11,1.0919e-10,0,6.9298,6.4765,65.832,0.83989,6.031,5.6364,0.076944,0,2.7344e-07,1.0052,1,0.000333,0.0015,0.000333,5e-06
1.728e-11,0.38039,0.21295,1604,0,-1.0141e-11,1.1135e-10,0,6.9291,6.4758,65.833,0.83991,6.0303,5.6358,0.076935,0,2.7341e-07,1.0053,1,0.000336,0.0015,0.000336,5e-06
1.728e-11,0.39443,0.21292,1604,0,-1.0133e-11,1.1351e-10,0,6.9283,6.475,65.835,0.83993,6.0296,5.6352,0.076927,0,2.7338e-07,1.0053,1,0.000339,0.0015,0.000339,5e-06
1.728e-11,0.4091,0.2129,1604,0,-1.0122e-11,1.1565e-10,0,6.9275,6.4743,65.837,0.83995,6.029,5.6346,0.076919,0,2.7335e-07,1.0053,1,0.000342,0.0015,0.000342,5e-06
1.728e-11,0.42377,0.21287,1603.9,0,-1.011e-11,1.1779e-10,0,6.9267,6.4736,65.838,0.83998,6.0283,5.6339,0.07691,0,2.7332e-07,1.0053,1,0.000345,0.0015,0.000345,5e-06
1.728e-11,0.43981,0.21284,1603.9,0,-1.0091e-11,1.199e-10,0,6.9259,6.4728,65.84,0.84,6.0276,5.6333,0.076901,0,2.7329e-07,1.0053,1,0.000348,0.0015,0.000348,5e-06
