"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0.001497,0.0015,0.001497,5e-06
1,0.0015,0.0015,0.0015,5e-06
1,0.001503,0.0015,0.001503,5e-06
1,0.001506,0.0015,0.001506,5e-06
1,0.001509,0.0015,0.001509,5e-06
1,0.001512,0.0015,0.001512,5e-06
1,0.001515,0.0015,0.001515,5e-06
1,0.001518,0.0015,0.001518,5e-06
1,0.001521,0.0015,0.001521,5e-06
1,0.001524,0.0015,0.001524,5e-06
1,0.001527,0.0015,0.001527,5e-06
1,0.00153,0.0015,0.00153,5e-06
1,0.001533,0.0015,0.001533,5e-06
1,0.001536,0.0015,0.001536,5e-06
1,0.001539,0.0015,0.001539,5e-06
1,0.001542,0.0015,0.001542,5e-06
1,0.001545,0.0015,0.001545,5e-06
1,0.001548,0.0015,0.001548,5e-06
1,0.001551,0.0015,0.001551,5e-06
1,0.001554,0.0015,0.001554,5e-06
1,0.001557,0.0015,0.001557,5e-06
1,0.00156,0.0015,0.00156,5e-06
1,0.001563,0.0015,0.001563,5e-06
1,0.001566,0.0015,0.001566,5e-06
1,0.001569,0.0015,0.001569,5e-06
1,0.001572,0.0015,0.001572,5e-06
1,0.001575,0.0015,0.001575,5e-06
1,0.001578,0.0015,0.001578,5e-06
1,0.001581,0.0015,0.001581,5e-06
1,0.001584,0.0015,0.001584,5e-06
1,0.001587,0.0015,0.001587,5e-06
1,0.00159,0.0015,0.00159,5e-06
1,0.001593,0.0015,0.001593,5e-06
1,0.001596,0.0015,0.001596,5e-06
1,0.001599,0.0015,0.001599,5e-06
1,0.001602,0.0015,0.001602,5e-06
1,0.001605,0.0015,0.001605,5e-06
1,0.001608,0.0015,0.001608,5e-06
1,0.001611,0.0015,0.001611,5e-06
1,0.001614,0.0015,0.001614,5e-06
1,0.001617,0.0015,0.001617,5e-06
1,0.00162,0.0015,0.00162,5e-06
1,0.001623,0.0015,0.001623,5e-06
1,0.001626,0.0015,0.001626,5e-06
1,0.001629,0.0015,0.001629,5e-06
1,0.001632,0.0015,0.001632,5e-06
1,0.001635,0.0015,0.001635,5e-06
1,0.001638,0.0015,0.001638,5e-06
1,0.001641,0.0015,0.001641,5e-06
1,0.001644,0.0015,0.001644,5e-06
1,0.001647,0.0015,0.001647,5e-06
1,0.00165,0.0015,0.00165,5e-06
1,0.001653,0.0015,0.001653,5e-06
1,0.001656,0.0015,0.001656,5e-06
1,0.001659,0.0015,0.001659,5e-06
1,0.001662,0.0015,0.001662,5e-06
1,0.001665,0.0015,0.001665,5e-06
1,0.001668,0.0015,0.001668,5e-06
1,0.001671,0.0015,0.001671,5e-06
1,0.001674,0.0015,0.001674,5e-06
1,0.001677,0.0015,0.001677,5e-06
1,0.00168,0.0015,0.00168,5e-06
1,0.001683,0.0015,0.001683,5e-06
1,0.001686,0.0015,0.001686,5e-06
1,0.001689,0.0015,0.001689,5e-06
1,0.001692,0.0015,0.001692,5e-06
1,0.001695,0.0015,0.001695,5e-06
1,0.001698,0.0015,0.001698,5e-06
1,0.001701,0.0015,0.001701,5e-06
1,0.001704,0.0015,0.001704,5e-06
1,0.001707,0.0015,0.001707,5e-06
1,0.00171,0.0015,0.00171,5e-06
1,0.001713,0.0015,0.001713,5e-06
1,0.001716,0.0015,0.001716,5e-06
1,0.001719,0.0015,0.001719,5e-06
