"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6912.2,1.6e-10,3.2374,0.25167,0,0.24895,0.015506,0.03,0.0057053,1623.1,0.033313,0,1.1976e-11,1.7669e-12,0,7.0232,6.5637,0.089603,66.032,37.096,0.84244,6.4434,6.0218,0.082205,0,0.26141,19.495,20.893,2.9213e-07,0.47567,5.5054e-06,2.0301e-07,1.0142,1,0.000141,0.0015,0.000141,5e-06
6912,1.6e-10,3.1121,0.25265,8.1904e-07,0.24893,0.015491,0.030022,0.0057175,1623.1,0.033423,0,1.2113e-11,1.8337e-12,0,7.0232,6.5637,0.089602,66.03,37.095,0.84241,6.4433,6.0218,0.082205,0,0.26141,19.466,20.892,2.9213e-07,0.46123,5.3383e-06,2.0299e-07,1.0142,1,0.000144,0.0015,0.000144,5e-06
6911.8,1.6e-10,2.9934,0.25365,2.4571e-06,0.24891,0.015476,0.030044,0.0057299,1623,0.033535,0,1.2245e-11,1.9015e-12,0,7.0231,6.5637,0.089602,66.028,37.094,0.84239,6.4433,6.0218,0.082205,0,0.26141,19.436,20.892,2.9213e-07,0.44718,5.1757e-06,2.0297e-07,1.0142,1,0.000147,0.0015,0.000147,5e-06
6911.5,1.6e-10,2.8747,0.25465,4.0952e-06,0.24889,0.015461,0.030066,0.0057423,1623,0.033647,0,1.2378e-11,1.9692e-12,0,7.0231,6.5636,0.089602,66.025,37.093,0.84236,6.4433,6.0218,0.082204,0,0.26141,19.406,20.892,2.9212e-07,0.43312,5.013e-06,2.0294e-07,1.0142,1,0.00015,0.0015,0.00015,5e-06
6911.3,1.6e-10,2.7677,0.25567,1.0775e-05,0.24886,0.015445,0.030088,0.005755,1622.9,0.033763,0,1.2503e-11,2.0377e-12,0,7.0231,6.5636,0.089601,66.023,37.092,0.84234,6.4433,6.0217,0.082204,0,0.26141,19.376,20.892,2.9212e-07,0.41981,4.859e-06,2.0292e-07,1.0141,1,0.000153,0.0015,0.000153,5e-06
6911.1,1.6e-10,2.6607,0.25669,1.7455e-05,0.24884,0.015429,0.03011,0.0057676,1622.9,0.03388,0,1.2627e-11,2.1061e-12,0,7.023,6.5636,0.089601,66.021,37.091,0.84231,6.4432,6.0217,0.082204,0,0.26141,19.346,20.892,2.9212e-07,0.40651,4.7049e-06,2.0289e-07,1.0141,1,0.000156,0.0015,0.000156,5e-06
6910.9,1.6e-10,2.559,0.25773,2.5864e-05,0.24882,0.015414,0.030133,0.0057805,1622.9,0.033998,0,1.2749e-11,2.1752e-12,0,7.023,6.5636,0.089601,66.019,37.089,0.84228,6.4432,6.0217,0.082203,0,0.2614,19.316,20.892,2.9212e-07,0.39357,4.5553e-06,2.0287e-07,1.0141,1,0.000159,0.0015,0.000159,5e-06
6910.6,1.6e-10,2.4625,0.25877,3.6004e-05,0.2488,0.015398,0.030156,0.0057935,1622.8,0.034118,0,1.2867e-11,2.2449e-12,0,7.023,6.5635,0.0896,66.017,37.088,0.84225,6.4432,6.0217,0.082203,0,0.2614,19.287,20.892,2.9212e-07,0.38101,4.4099e-06,2.0284e-07,1.0141,1,0.000162,0.0015,0.000162,5e-06
6910.4,1.6e-10,2.366,0.25982,4.6143e-05,0.24877,0.015382,0.030179,0.0058064,1622.8,0.034238,0,1.2985e-11,2.3145e-12,0,7.023,6.5635,0.0896,66.015,37.087,0.84223,6.4431,6.0216,0.082202,0,0.2614,19.257,20.892,2.9212e-07,0.36845,4.2645e-06,2.0282e-07,1.014,1,0.000165,0.0015,0.000165,5e-06
6910.2,1.6e-10,2.2789,0.26089,5.6383e-05,0.24875,0.015366,0.030202,0.0058197,1622.7,0.034362,0,1.3096e-11,2.3844e-12,0,7.0229,6.5635,0.089599,66.013,37.086,0.8422,6.4431,6.0216,0.082202,0,0.2614,19.227,20.891,2.9212e-07,0.35663,4.1276e-06,2.0279e-07,1.014,1,0.000168,0.0015,0.000168,5e-06
