"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.26599,0.75252,0.21462,0.0027303,0.013849,0.15956,14.627,0.19967,56.64,31.82,6.0118,0,18.339,20.063,2.9164e-07,2.0771e-07,7.9321e-08,1.0044,1,0.000174,0.0015,0.000174,5e-06
1.728e-11,0.25696,0.75269,0.21459,0.0027265,0.013851,0.15963,14.626,0.19967,56.636,31.818,6.0116,0,18.31,20.063,2.9164e-07,1.8965e-07,7.9291e-08,1.0043,1,0.000177,0.0015,0.000177,5e-06
1.728e-11,0.24793,0.75287,0.21457,0.0027227,0.013853,0.1597,14.626,0.19966,56.633,31.816,6.0115,0,18.28,20.063,2.9163e-07,1.716e-07,7.9262e-08,1.0043,1,0.00018,0.0015,0.00018,5e-06
1.728e-11,0.23969,0.75305,0.21454,0.0027188,0.013856,0.15977,14.625,0.19966,56.629,31.814,6.0113,0,18.25,20.063,2.9162e-07,1.5506e-07,7.9233e-08,1.0042,1,0.000183,0.0015,0.000183,5e-06
1.728e-11,0.23145,0.75322,0.21451,0.002715,0.013858,0.15984,14.625,0.19965,56.626,31.812,6.0111,0,18.221,20.064,2.9161e-07,1.3852e-07,7.9204e-08,1.0041,1,0.000186,0.0015,0.000186,5e-06
1.728e-11,0.22358,0.7534,0.21449,0.0027111,0.01386,0.15991,14.625,0.19964,56.622,31.81,6.011,0,18.191,20.064,2.916e-07,1.2267e-07,7.9175e-08,1.0041,1,0.000189,0.0015,0.000189,5e-06
1.728e-11,0.21606,0.75358,0.21446,0.0027072,0.013863,0.15999,14.624,0.19964,56.618,31.808,6.0108,0,18.161,20.064,2.9159e-07,1.0751e-07,7.9146e-08,1.004,1,0.000192,0.0015,0.000192,5e-06
1.728e-11,0.20854,0.75376,0.21443,0.0027033,0.013865,0.16006,14.624,0.19963,56.615,31.806,6.0106,0,18.132,20.064,2.9158e-07,9.2352e-08,7.9118e-08,1.004,1,0.000195,0.0015,0.000195,5e-06
1.728e-11,0.20167,0.75393,0.21441,0.0026993,0.013867,0.16014,14.623,0.19963,56.611,31.804,6.0104,0,18.102,20.064,2.9157e-07,7.8457e-08,7.909e-08,1.0039,1,0.000198,0.0015,0.000198,5e-06
1.728e-11,0.1948,0.75411,0.21438,0.0026953,0.01387,0.16021,14.623,0.19962,56.608,31.802,6.0103,0,18.073,20.064,2.9156e-07,6.4563e-08,7.9062e-08,1.0039,1,0.000201,0.0015,0.000201,5e-06
1.728e-11,0.18823,0.75429,0.21435,0.0026914,0.013872,0.16029,14.623,0.19962,56.604,31.8,6.0101,0,18.043,20.065,2.9155e-07,5.1245e-08,7.9034e-08,1.0038,1,0.000204,0.0015,0.000204,5e-06
1.728e-11,0.18196,0.75447,0.21432,0.0026873,0.013874,0.16037,14.622,0.19961,56.6,31.798,6.0099,0,18.014,20.065,2.9154e-07,3.8505e-08,7.9007e-08,1.0038,1,0.000207,0.0015,0.000207,5e-06
1.728e-11,0.17568,0.75465,0.21429,0.0026833,0.013877,0.16045,14.622,0.1996,56.597,31.796,6.0097,0,17.984,20.065,2.9153e-07,2.5765e-08,7.898e-08,1.0037,1,0.00021,0.0015,0.00021,5e-06
1.728e-11,0.16994,0.75483,0.21426,0.0026793,0.013879,0.16053,14.621,0.1996,56.593,31.794,6.0095,0,17.955,20.065,2.9152e-07,1.4081e-08,7.8953e-08,1.0037,1,0.000213,0.0015,0.000213,5e-06
1.728e-11,0.1642,0.75501,0.21423,0.0026752,0.013882,0.16061,14.621,0.19959,56.59,31.792,6.0093,0,17.926,20.066,2.9151e-07,2.3972e-09,7.8926e-08,1.0036,1,0.000216,0.0015,0.000216,5e-06
1.728e-11,0.15871,0.75519,0.2142,0.0026712,0.013884,0.16069,14.62,0.19958,56.586,31.79,6.0091,0,17.896,20.066,2.915e-07,-8.804e-09,7.89e-08,1.0035,1,0.000219,0.0015,0.000219,5e-06
1.728e-11,0.15346,0.75536,0.21417,0.0026671,0.013886,0.16077,14.62,0.19958,56.583,31.788,6.0089,0,17.867,20.067,2.9149e-07,-1.9522e-08,7.8875e-08,1.0035,1,0.000222,0.0015,0.000222,5e-06
1.728e-11,0.14821,0.75554,0.21413,0.002663,0.013889,0.16085,14.619,0.19957,56.579,31.786,6.0087,0,17.838,20.067,2.9147e-07,-3.024e-08,7.8849e-08,1.0034,1,0.000225,0.0015,0.000225,5e-06
1.728e-11,0.1434,0.75572,0.2141,0.0026588,0.013891,0.16094,14.619,0.19956,56.576,31.784,6.0085,0,17.808,20.067,2.9146e-07,-4.0075e-08,7.8824e-08,1.0034,1,0.000228,0.0015,0.000228,5e-06
1.728e-11,0.1386,0.7559,0.21407,0.0026547,0.013893,0.16102,14.618,0.19956,56.572,31.782,6.0083,0,17.779,20.068,2.9145e-07,-4.991e-08,7.8799e-08,1.0033,1,0.000231,0.0015,0.000231,5e-06
1.728e-11,0.13399,0.75608,0.21403,0.0026506,0.013896,0.16111,14.618,0.19955,56.569,31.78,6.0081,0,17.75,20.069,2.9144e-07,-5.934e-08,7.8774e-08,1.0033,1,0.000234,0.0015,0.000234,5e-06
1.728e-11,0.12959,0.75626,0.214,0.0026464,0.013898,0.16119,14.617,0.19955,56.565,31.778,6.0079,0,17.721,20.069,2.9143e-07,-6.8365e-08,7.875e-08,1.0032,1,0.000237,0.0015,0.000237,5e-06
