"ALambda_0","D_X","E850","SAC","SI","SIC","SIP","SLambda_0","SS","U:0","U:1","U:2","XI_VS","XI_alpha","XPB","XPB_VS","XS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
149.69,2.5517e-16,0.24979,0.75786,0.20355,0.0021251,0.013884,40.135,0.17831,4.174e-11,1.218e-10,0,0.33202,0.0045324,1.43,0.80335,0.099636,0.093118,0.97595,18.296,20.121,4.4375e-09,4.3205e-09,8.4405e-09,0.024047,1,0.000186,0.0015,0.000186,5e-06
34.148,2.5103e-16,0.24942,0.7579,0.20355,0.0021228,0.013885,9.19,0.17834,1.4727e-11,9.7435e-11,0,0.076642,0.0010463,0.32622,0.18327,0.022886,0.021389,0.9945,18.19,20.044,1.0246e-09,9.7037e-10,1.9199e-09,0.0055002,1,0.000189,0.0015,0.000189,5e-06
18.753,2.5057e-16,0.24929,0.75795,0.20354,0.0021205,0.013887,5.0495,0.17836,-1.9962e-11,6.4353e-11,0,0.042158,0.00057551,0.17915,0.10065,0.012578,0.011755,0.99698,18.164,20.047,5.6346e-10,5.3296e-10,1.0541e-09,0.0030216,1,0.000192,0.0015,0.000192,5e-06
3.3587,2.501e-16,0.24915,0.75799,0.20354,0.0021182,0.013888,0.90889,0.17838,-5.4651e-11,3.127e-11,0,0.007674,0.00010476,0.032085,0.018025,0.0022693,0.0021208,0.99946,18.137,20.05,1.0235e-10,9.5558e-11,1.8835e-10,0.00054306,1,0.000195,0.0015,0.000195,5e-06
2.1502,2.5006e-16,0.24914,0.75804,0.20354,0.002116,0.013889,0.58211,0.17841,-7.1552e-11,3.3141e-12,0,0.0049195,6.7157e-05,0.020541,0.01154,0.0014536,0.0013585,0.99965,18.107,20.05,6.5584e-11,6.1197e-11,1.2055e-10,0.00034777,1,0.000198,0.0015,0.000198,5e-06
0.94176,2.5003e-16,0.24912,0.75808,0.20353,0.0021137,0.01389,0.25533,0.17843,-8.8454e-11,-2.4642e-11,0,0.002165,2.9554e-05,0.0089966,0.0050543,0.00063782,0.00059609,0.99985,18.078,20.05,2.882e-11,2.6836e-11,5.2753e-11,0.00015247,1,0.000201,0.0015,0.000201,5e-06
0.27844,2.5001e-16,0.24913,0.75813,0.20353,0.0021114,0.013891,0.075856,0.17845,-7.6534e-11,-4.6372e-11,0,0.00065021,8.8762e-06,0.0026599,0.0014943,0.00018973,0.00017732,0.99995,18.048,20.049,8.6146e-12,7.9663e-12,1.5552e-11,4.5232e-05,1,0.000204,0.0015,0.000204,5e-06
0.16024,2.5e-16,0.24914,0.75818,0.20352,0.0021092,0.013893,0.043692,0.17848,-3.5791e-11,-6.1876e-11,0,0.00037523,5.1223e-06,0.0015308,0.00085999,0.00010929,0.00010214,0.99997,18.019,20.049,4.9662e-12,4.5881e-12,8.9458e-12,2.6047e-05,1,0.000207,0.0015,0.000207,5e-06
0.042043,2.5e-16,0.24916,0.75822,0.20352,0.0021069,0.013894,0.011528,0.1785,4.9523e-12,-7.7379e-11,0,0.00010025,1.3685e-06,0.00040163,0.00022564,2.8857e-05,2.6969e-05,0.99999,17.989,20.049,1.3178e-12,1.2099e-12,2.3398e-12,6.8607e-06,1,0.00021,0.0015,0.00021,5e-06
0.027718,2.5e-16,0.24918,0.75827,0.20352,0.0021046,0.013895,0.0076042,0.17852,9.3757e-11,-6.8264e-11,0,6.621e-05,9.0384e-07,0.00026479,0.00014876,1.9036e-05,1.7791e-05,1,17.96,20.049,8.6941e-13,7.9782e-13,1.5416e-12,4.5249e-06,1,0.000213,0.0015,0.000213,5e-06
